number_of_dependents,is_graduated,is_self_employed,annual_income,loan_amount,loan_term,credit_score,residential_assets,commercial_assets,luxury_assets,bank_assets,loan_status
0,no,yes,41000.0,122000.0,8,417,27000.0,22000.0,88000.0,33000.0,rejected
3,yes,no,91000.0,297000.0,20,506,71000.0,45000.0,333000.0,128000.0,rejected
3,yes,no,82000.0,307000.0,8,467,182000.0,33000.0,233000.0,79000.0,rejected
5,no,yes,98000.0,242000.0,20,382,124000.0,82000.0,294000.0,50000.0,rejected
0,yes,yes,48000.0,135000.0,10,319,68000.0,83000.0,137000.0,51000.0,rejected
5,yes,no,87000.0,330000.0,4,678,225000.0,148000.0,292000.0,43000.0,approved
2,yes,yes,57000.0,150000.0,20,382,132000.0,57000.0,118000.0,60000.0,rejected
0,yes,yes,8000.0,22000.0,20,782,13000.0,8000.0,28000.0,6000.0,approved
5,no,no,11000.0,43000.0,10,388,32000.0,14000.0,33000.0,16000.0,rejected
4,yes,yes,29000.0,112000.0,2,547,81000.0,47000.0,95000.0,31000.0,approved
2,no,yes,67000.0,227000.0,18,538,153000.0,58000.0,204000.0,64000.0,rejected
3,no,yes,50000.0,116000.0,16,311,64000.0,96000.0,146000.0,43000.0,rejected
1,no,no,19000.0,74000.0,6,469,19000.0,12000.0,59000.0,19000.0,rejected
5,no,no,47000.0,107000.0,10,794,57000.0,39000.0,164000.0,44000.0,approved
2,yes,yes,5000.0,16000.0,4,663,13000.0,1000.0,13000.0,7000.0,approved
4,no,yes,29000.0,94000.0,14,780,29000.0,28000.0,67000.0,43000.0,approved
2,yes,no,27000.0,103000.0,10,736,10000.0,0.0,62000.0,33000.0,approved
5,yes,no,63000.0,146000.0,12,652,103000.0,35000.0,235000.0,59000.0,approved
2,yes,no,50000.0,194000.0,12,315,95000.0,16000.0,180000.0,61000.0,rejected
4,yes,no,58000.0,140000.0,16,530,38000.0,113000.0,222000.0,54000.0,rejected
4,yes,yes,65000.0,257000.0,18,311,131000.0,17000.0,195000.0,85000.0,rejected
0,no,yes,5000.0,14000.0,2,551,9000.0,6000.0,11000.0,3000.0,approved
0,no,no,49000.0,98000.0,16,324,38000.0,87000.0,100000.0,33000.0,rejected
5,no,no,31000.0,95000.0,20,514,79000.0,31000.0,66000.0,26000.0,rejected
4,yes,no,82000.0,281000.0,12,696,115000.0,106000.0,253000.0,72000.0,approved
4,no,yes,24000.0,56000.0,4,662,45000.0,42000.0,54000.0,25000.0,approved
5,no,yes,70000.0,240000.0,6,336,23000.0,119000.0,275000.0,97000.0,rejected
3,no,yes,90000.0,315000.0,10,850,218000.0,124000.0,337000.0,80000.0,approved
2,no,no,98000.0,253000.0,12,313,202000.0,52000.0,255000.0,93000.0,rejected
2,yes,no,57000.0,120000.0,6,363,36000.0,74000.0,217000.0,43000.0,rejected
1,no,yes,8000.0,16000.0,10,436,7000.0,2000.0,22000.0,10000.0,rejected
5,no,yes,84000.0,220000.0,2,830,38000.0,39000.0,199000.0,54000.0,approved
3,yes,no,49000.0,119000.0,8,612,97000.0,12000.0,190000.0,58000.0,approved
2,yes,yes,17000.0,34000.0,8,691,27000.0,28000.0,60000.0,9000.0,approved
3,no,no,16000.0,62000.0,18,636,34000.0,7000.0,53000.0,14000.0,approved
5,yes,yes,80000.0,272000.0,6,348,64000.0,3000.0,167000.0,71000.0,rejected
5,yes,no,36000.0,77000.0,16,830,70000.0,13000.0,100000.0,29000.0,approved
3,no,yes,15000.0,51000.0,6,352,1000.0,2000.0,56000.0,9000.0,rejected
1,yes,no,78000.0,181000.0,2,712,86000.0,112000.0,217000.0,90000.0,approved
2,no,no,91000.0,249000.0,16,822,223000.0,121000.0,310000.0,52000.0,approved
3,yes,no,14000.0,34000.0,6,540,2000.0,15000.0,39000.0,8000.0,rejected
2,yes,yes,8000.0,23000.0,12,342,22000.0,13000.0,18000.0,8000.0,rejected
5,yes,no,65000.0,134000.0,18,787,182000.0,3000.0,162000.0,54000.0,approved
4,yes,no,80000.0,278000.0,16,331,130000.0,63000.0,214000.0,109000.0,rejected
3,no,yes,42000.0,146000.0,6,679,24000.0,69000.0,87000.0,49000.0,approved
1,yes,yes,49000.0,191000.0,14,677,54000.0,91000.0,177000.0,65000.0,approved
3,no,no,55000.0,205000.0,12,634,8000.0,86000.0,185000.0,82000.0,approved
1,no,yes,95000.0,191000.0,16,662,1000.0,105000.0,377000.0,117000.0,approved
4,yes,no,73000.0,254000.0,16,502,5000.0,18000.0,205000.0,105000.0,rejected
2,yes,no,87000.0,247000.0,10,435,68000.0,35000.0,218000.0,113000.0,rejected
5,no,no,38000.0,76000.0,4,689,87000.0,1000.0,93000.0,34000.0,approved
1,no,yes,84000.0,230000.0,12,657,154000.0,148000.0,319000.0,82000.0,approved
2,yes,yes,51000.0,197000.0,20,590,74000.0,93000.0,194000.0,34000.0,approved
5,no,no,67000.0,245000.0,12,818,12000.0,56000.0,163000.0,62000.0,approved
2,no,no,43000.0,106000.0,18,431,21000.0,15000.0,93000.0,52000.0,rejected
5,yes,yes,93000.0,305000.0,18,841,193000.0,103000.0,346000.0,87000.0,approved
1,yes,no,74000.0,184000.0,20,421,185000.0,91000.0,175000.0,41000.0,rejected
4,no,yes,55000.0,182000.0,16,797,-1000.0,49000.0,186000.0,48000.0,approved
2,no,no,85000.0,189000.0,18,478,238000.0,163000.0,259000.0,114000.0,rejected
3,no,yes,96000.0,305000.0,18,669,47000.0,19000.0,265000.0,93000.0,approved
3,no,yes,33000.0,75000.0,20,586,16000.0,56000.0,105000.0,29000.0,approved
4,yes,yes,39000.0,123000.0,18,784,76000.0,69000.0,131000.0,28000.0,approved
1,yes,no,41000.0,103000.0,12,364,95000.0,61000.0,149000.0,28000.0,rejected
3,no,no,83000.0,291000.0,10,715,61000.0,119000.0,241000.0,119000.0,approved
0,no,yes,27000.0,101000.0,20,693,2000.0,17000.0,59000.0,14000.0,rejected
4,yes,no,56000.0,124000.0,4,777,55000.0,31000.0,118000.0,55000.0,approved
0,yes,no,19000.0,50000.0,12,312,40000.0,28000.0,49000.0,24000.0,rejected
4,no,yes,5000.0,15000.0,20,340,1000.0,2000.0,19000.0,6000.0,rejected
5,yes,yes,53000.0,186000.0,4,386,27000.0,97000.0,119000.0,42000.0,approved
5,no,no,70000.0,183000.0,4,418,184000.0,117000.0,215000.0,76000.0,rejected
3,no,yes,58000.0,167000.0,16,735,39000.0,94000.0,126000.0,56000.0,approved
2,no,no,26000.0,84000.0,6,494,65000.0,38000.0,56000.0,20000.0,rejected
